Shape_Area,Shape_Leng,Surface_PU,unique_id,origine,cluster_PC,cluster_DI,DI_reg,DI_6cat,sp_richnes,sum_max_ei,access,chantiers,ParcourRef,enjeux_Z,enjeu_2026,enjeux,prio_all,prio_txt
11243.20828580000,413.86860898500,1.12432082858,"1",DI terrain 2024,"-99","1","-99",peu envahi (1),"2","3",290.07070067500,Buffer de 500m autour d'un chantier historique,Restauration peu envahi,39.86635266880,"0",Faible enjeu de conservation à l'échelle du massif,76.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
17970.16001710000,556.31278072400,1.79701600171,"2",DI terrain 2024,"-99","1","-99",intact,"0","0",904.76152781100,Buffer de 200m autour d'un chantier historique,Surveillance,71.82742012990,"2",Fort enjeu de conservation à l'échelle du massif,90.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
40000.00000000000,800.00000000000,4.00000000000,"3",DI regional 2025,"-99","-99","0",intact,"0","-99",478.12374877900,Pas de chantiers connus dans les 5 dernières années,Surveillance,70.29842708590,"2",Fort enjeu de conservation à l'échelle du massif,78.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
9743.06735406000,392.95930928300,0.97430673541,"4",DI terrain 2024,"-99","1","-99",intact,"0","0",853.30519959600,Buffer de 500m autour d'un chantier historique,Surveillance,55.20200498740,"1",Enjeu de conservation intermédiaire à l'échelle du massif,84.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
3976.49948165000,249.27743103300,0.39764994817,"5",DI terrain Piton de Caille 2021,"1","-99","-99",peu envahi (2),"1","3",153.64168771100,Chantiers dans les 5 dernières années,Restauration peu envahi,46.83375528700,"1",Enjeu de conservation intermédiaire à l'échelle du massif,75.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
14644.14200630000,574.26981597800,1.46441420063,"6",DI regional 2025,"-99","-99","3",très envahi (6),"0","-99",2606.52075195000,Pas de chantiers connus dans les 5 dernières années,Restauration très envahi,97.02003431890,"2",Fort enjeu de conservation à l'échelle du massif,52.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
3885.87298229000,250.07145684500,0.38858729823,"7",DI terrain Piton de Caille 2021,"1","-99","-99",peu envahi (2),"1","3",825.06598789600,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,69.63100864580,"2",Fort enjeu de conservation à l'échelle du massif,80.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
14516.08308480000,498.65160034700,1.45160830848,"8",DI terrain 2024,"-99","1","-99",peu envahi (1),"0","0",1830.11220243000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,51.92040836260,"1",Enjeu de conservation intermédiaire à l'échelle du massif,66.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
28640.05469100000,709.33549260900,2.86400546910,"9",DI terrain 2024,"-99","0","-99",intact,"0","0",3683.36659279000,Pas de chantiers connus dans les 5 dernières années,Surveillance,14.72451603700,"0",Faible enjeu de conservation à l'échelle du massif,63.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
20039.21373850000,561.29124399300,2.00392137385,"10",DI terrain 2024,"-99","3","-99",moyennement envahi (3),"2","2",3050.38545238000,Pas de chantiers connus dans les 5 dernières années,Restauration moy envahi,58.25619363610,"2",Fort enjeu de conservation à l'échelle du massif,77.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
